"模型ID","计费单元","说明","标价(元)","单位"
"BAAI/bge-large-zh-v1.5","免费产品","输入 - 默认","0","百万 Token"
"BAAI/bge-large-zh-v1.5","免费产品","文本输出 - 默认","0","百万 Token"
"BAAI/bge-m3","免费产品","输入 - 默认","0","百万 Token"
"BAAI/bge-m3","免费产品","文本输出 - 默认","0","百万 Token"
"ByteDance/doubao-1-5-pro-32k-250115","doubao-1.5-pro-32k-input","输入 - 默认","0.8","百万 Token"
"ByteDance/doubao-1-5-pro-32k-250115","doubao-1.5-pro-32k_text_cache read_standard","缓存 - 默认","0.16","百万 Token"
"ByteDance/doubao-1-5-pro-32k-250115","doubao-1.5-pro-32k-output","文本输出 - 默认","2","百万 Token"
"ByteDance/doubao-seed-1.6","doubao-seed-1-6-input","输入 - 默认","0.8","百万 Token"
"ByteDance/doubao-seed-1.6","doubao-seed-1-6-output","文本输出 - 默认","2","百万 Token"
"IndexTeam/IndexTTS-2","IndexTeam/IndexTTS-2_input","输入 - 默认","40","百万 Token"
"IndexTeam/IndexTTS-2","免费产品","文本输出 - 默认","0","百万 Token"
"MiniMax-Hailuo-02","MiniMax-Hailuo-02_I2V_1080P_6s","视频时长 - 1080p 且 duration=6","0.5833333334","秒"
"MiniMax-Hailuo-02","MiniMax-Hailuo-02_I2V_768P_6s","视频时长 - 768p 且 duration=6","0.3333333334","秒"
"MiniMax-Hailuo-2.3","minimax-hailuo-2.3-t2v_output_video_6S_1080P","视频时长 - 1080p 且 duration=6","0.5833333334","秒"
"MiniMax-Hailuo-2.3","minimax-hailuo-2.3-t2v_output_video_6S_768P","视频时长 - 768p 且 duration=6","0.3333333334","秒"
"MiniMax-Hailuo-2.3-Fast","MiniMax-Hailuo-2.3-Fast_I2V_1080P_6s","视频时长 - 1080p 且 duration=6","0.385","秒"
"MiniMax-Hailuo-2.3-Fast","MiniMax-Hailuo-2.3-Fast_I2V_768P_6s","视频时长 - 768p 且 duration=6","0.225","秒"
"MiniMax-M2","MiniMax-M2_input","输入 - 默认","2.1","百万 Token"
"MiniMax-M2","MiniMax-M2_output","文本输出 - 默认","8.4","百万 Token"
